food,water_in_liter,electric_in_kwh,internet_in_gb,cloth_wash_in_kg,cost_rupiah
Sayur lodeh,1.20,14.50,0.95,2.40,53200.0
Gado Gado,1.20,14.50,0.95,2.40,52200.0
Rawon,1.20,14.50,0.95,2.40,59200.0
Ketoprak,1.20,14.50,0.95,2.40,51700.0
Siomay,1.20,14.50,0.95,2.40,48200.0
Nasi Goreng,1.40,14.50,0.95,2.40,54400.0
Indomie,1.40,14.50,0.95,2.40,41400.0
Bakso ayam,1.40,14.50,0.95,2.40,51400.0
Sate,1.40,14.50,0.95,2.40,55400.0
Rendang,1.40,14.50,0.95,2.40,64400.0
Sayur lodeh,1.40,14.50,0.95,2.40,53400.0
Gado Gado,1.40,14.50,0.95,2.40,52400.0
Rawon,1.40,14.50,0.95,2.40,59400.0
Ketoprak,1.40,14.50,0.95,2.40,51900.0
Siomay,1.40,14.50,0.95,2.40,48400.0
Nasi Goreng,1.60,14.50,0.95,2.40,54600.0
Indomie,1.60,14.50,0.95,2.40,41600.0
Bakso ayam,1.60,14.50,0.95,2.40,51600.0
Sate,1.60,14.50,0.95,2.40,55600.0
Rendang,1.60,14.50,0.95,2.40,64600.0
Sayur lodeh,1.60,14.50,0.95,2.40,53600.0
Gado Gado,1.60,14.50,0.95,2.40,52600.0
Rawon,1.60,14.50,0.95,2.40,59600.0
Ketoprak,1.60,14.50,0.95,2.40,52100.0
Siomay,1.60,14.50,0.95,2.40,48600.0
Nasi Goreng,1.80,14.50,0.95,2.40,54800.0
Indomie,1.80,14.50,0.95,2.40,41800.0
Bakso ayam,1.80,14.50,0.95,2.40,51800.0
Sate,1.80,14.50,0.95,2.40,55800.0
Rendang,1.80,14.50,0.95,2.40,64800.0
Sayur lodeh,1.80,14.50,0.95,2.40,53800.0
Gado Gado,1.80,14.50,0.95,2.40,52800.0
Rawon,1.80,14.50,0.95,2.40,59800.0
Ketoprak,1.80,14.50,0.95,2.40,52300.0
Siomay,1.80,14.50,0.95,2.40,48800.0
Nasi Goreng,2.00,14.50,0.95,2.40,55000.0
Indomie,2.00,14.50,0.95,2.40,42000.0
Bakso ayam,2.00,14.50,0.95,2.40,52000.0
Sate,2.00,14.50,0.95,2.40,56000.0
Rendang,2.00,14.50,0.95,2.40,65000.0
Sayur lodeh,2.00,14.50,0.95,2.40,54000.0
Gado Gado,2.00,14.50,0.95,2.40,53000.0
Rawon,2.00,14.50,0.95,2.40,60000.0
Ketoprak,2.00,14.50,0.95,2.40,52500.0
Siomay,2.00,14.50,0.95,2.40,49000.0
Nasi Goreng,2.20,14.50,0.95,2.40,55200.0
Indomie,2.20,14.50,0.95,2.40,42200.0
Bakso ayam,2.20,14.50,0.95,2.40,52200.0
Sate,2.20,14.50,0.95,2.40,56200.0
Rendang,2.20,14.50,0.95,2.40,65200.0
Sayur lodeh,2.20,14.50,0.95,2.40,54200.0
Gado Gado,2.20,14.50,0.95,2.40,53200.0
Rawon,2.20,14.50,0.95,2.40,60200.0
Ketoprak,2.20,14.50,0.95,2.40,52700.0
Siomay,2.20,14.50,0.95,2.40,49200.0
Nasi Goreng,2.40,14.50,0.95,2.40,55400.0
Indomie,2.40,14.50,0.95,2.40,42400.0
Bakso ayam,2.40,14.50,0.95,2.40,52400.0
Sate,2.40,14.50,0.95,2.40,56400.0
Rendang,2.40,14.50,0.95,2.40,65400.0
Sayur lodeh,2.40,14.50,0.95,2.40,54400.0
Gado Gado,2.40,14.50,0.95,2.40,53400.0
Rawon,2.40,14.50,0.95,2.40,60400.0
Ketoprak,2.40,14.50,0.95,2.40,52900.0
Siomay,2.40,14.50,0.95,2.40,49400.0
Nasi Goreng,2.60,14.50,0.95,2.40,55600.0
Indomie,2.60,14.50,0.95,2.40,42600.0
Bakso ayam,2.60,14.50,0.95,2.40,52600.0
Sate,2.60,14.50,0.95,2.40,56600.0
Rendang,2.60,14.50,0.95,2.40,65600.0
Sayur lodeh,2.60,14.50,0.95,2.40,54600.0
Gado Gado,2.60,14.50,0.95,2.40,53600.0
Rawon,2.60,14.50,0.95,2.40,60600.0
Ketoprak,2.60,14.50,0.95,2.40,53100.0
Siomay,2.60,14.50,0.95,2.40,49600.0
Nasi Goreng,0.80,1.00,1.10,2.40,41800.0
Indomie,0.80,1.00,1.10,2.40,28800.0
Bakso ayam,0.80,1.00,1.10,2.40,38800.0
Sate,0.80,1.00,1.10,2.40,42800.0
Rendang,0.80,1.00,1.10,2.40,51800.0
Sayur lodeh,0.80,1.00,1.10,2.40,40800.0
Gado Gado,0.80,1.00,1.10,2.40,39800.0
Rawon,0.80,1.00,1.10,2.40,46800.0
Ketoprak,0.80,1.00,1.10,2.40,39300.0
Siomay,0.80,1.00,1.10,2.40,35800.0
Nasi Goreng,1.00,1.00,1.10,2.40,42000.0
Indomie,1.00,1.00,1.10,2.40,29000.0
Bakso ayam,1.00,1.00,1.10,2.40,39000.0
Sate,1.00,1.00,1.10,2.40,43000.0
Rendang,1.00,1.00,1.10,2.40,52000.0
Sayur lodeh,1.00,1.00,1.10,2.40,41000.0
Gado Gado,1.00,1.00,1.10,2.40,40000.0
Rawon,1.00,1.00,1.10,2.40,47000.0
Ketoprak,1.00,1.00,1.10,2.40,39500.0
Siomay,1.00,1.00,1.10,2.40,36000.0
Nasi Goreng,1.20,1.00,1.10,2.40,42200.0
Indomie,1.20,1.00,1.10,2.40,29200.0
Bakso ayam,1.20,1.00,1.10,2.40,39200.0
Sate,1.20,1.00,1.10,2.40,43200.0
Rendang,1.20,1.00,1.10,2.40,52200.0
Sayur lodeh,1.20,1.00,1.10,2.40,41200.0
Gado Gado,1.20,1.00,1.10,2.40,40200.0
Rawon,1.20,1.00,1.10,2.40,47200.0
Ketoprak,1.20,1.00,1.10,2.40,39700.0
Siomay,1.20,1.00,1.10,2.40,36200.0
Nasi Goreng,1.40,1.00,1.10,2.40,42400.0
Indomie,1.40,1.00,1.10,2.40,29400.0
Bakso ayam,1.40,1.00,1.10,2.40,39400.0
Sate,1.40,1.00,1.10,2.40,43400.0
Rendang,1.40,1.00,1.10,2.40,52400.0
Sayur lodeh,1.40,1.00,1.10,2.40,41400.0
Gado Gado,1.40,1.00,1.10,2.40,40400.0
Rawon,1.40,1.00,1.10,2.40,47400.0
Ketoprak,1.40,1.00,1.10,2.40,39900.0
Siomay,1.40,1.00,1.10,2.40,36400.0
Nasi Goreng,1.60,1.00,1.10,2.40,42600.0
Indomie,1.60,1.00,1.10,2.40,29600.0
Bakso ayam,1.60,1.00,1.10,2.40,39600.0
Sate,1.60,1.00,1.10,2.40,43600.0
Rendang,1.60,1.00,1.10,2.40,52600.0
Sayur lodeh,1.60,1.00,1.10,2.40,41600.0
Gado Gado,1.60,1.00,1.10,2.40,40600.0
Rawon,1.60,1.00,1.10,2.40,47600.0
Ketoprak,1.60,1.00,1.10,2.40,40100.0
Siomay,1.60,1.00,1.10,2.40,36600.0
Nasi Goreng,1.80,1.00,1.10,2.40,42800.0
Indomie,1.80,1.00,1.10,2.40,29800.0
Bakso ayam,1.80,1.00,1.10,2.40,39800.0
Sate,1.80,1.00,1.10,2.40,43800.0
Rendang,1.80,1.00,1.10,2.40,52800.0
Sayur lodeh,1.80,1.00,1.10,2.40,41800.0
Gado Gado,1.80,1.00,1.10,2.40,40800.0
Rawon,1.80,1.00,1.10,2.40,47800.0
Ketoprak,1.80,1.00,1.10,2.40,40300.0
Siomay,1.80,1.00,1.10,2.40,36800.0
Nasi Goreng,2.00,1.00,1.10,2.40,43000.0
Indomie,2.00,1.00,1.10,2.40,30000.0
Bakso ayam,2.00,1.00,1.10,2.40,40000.0
Sate,2.00,1.00,1.10,2.40,44000.0
Rendang,2.00,1.00,1.10,2.40,53000.0
Sayur lodeh,2.00,1.00,1.10,2.40,42000.0
Gado Gado,2.00,1.00,1.10,2.40,41000.0
Rawon,2.00,1.00,1.10,2.40,48000.0
Ketoprak,2.00,1.00,1.10,2.40,40500.0
Siomay,2.00,1.00,1.10,2.40,37000.0
Nasi Goreng,2.20,1.00,1.10,2.40,43200.0
Indomie,2.20,1.00,1.10,2.40,30200.0
Bakso ayam,2.20,1.00,1.10,2.40,40200.0
Sate,2.20,1.00,1.10,2.40,44200.0
Rendang,2.20,1.00,1.10,2.40,53200.0
Sayur lodeh,2.20,1.00,1.10,2.40,42200.0
Gado Gado,2.20,1.00,1.10,2.40,41200.0
Rawon,2.20,1.00,1.10,2.40,48200.0
Ketoprak,2.20,1.00,1.10,2.40,40700.0
Siomay,2.20,1.00,1.10,2.40,37200.0
Nasi Goreng,2.40,1.00,1.10,2.40,43400.0
Indomie,2.40,1.00,1.10,2.40,30400.0
Bakso ayam,2.40,1.00,1.10,2.40,40400.0
Sate,2.40,1.00,1.10,2.40,44400.0
Rendang,2.40,1.00,1.10,2.40,53400.0
Sayur lodeh,2.40,1.00,1.10,2.40,42400.0
Gado Gado,2.40,1.00,1.10,2.40,41400.0
Rawon,2.40,1.00,1.10,2.40,48400.0
Ketoprak,2.40,1.00,1.10,2.40,40900.0
Siomay,2.40,1.00,1.10,2.40,37400.0
Nasi Goreng,2.60,1.00,1.10,2.40,43600.0
Indomie,2.60,1.00,1.10,2.40,30600.0
Bakso ayam,2.60,1.00,1.10,2.40,40600.0
Sate,2.60,1.00,1.10,2.40,44600.0
Rendang,2.60,1.00,1.10,2.40,53600.0
Sayur lodeh,2.60,1.00,1.10,2.40,42600.0
Gado Gado,2.60,1.00,1.10,2.40,41600.0
Rawon,2.60,1.00,1.10,2.40,48600.0
Ketoprak,2.60,1.00,1.10,2.40,41100.0
Siomay,2.60,1.00,1.10,2.40,37600.0
Nasi Goreng,0.80,2.50,1.10,2.40,43150.0
Indomie,0.80,2.50,1.10,2.40,30150.0
Bakso ayam,0.80,2.50,1.10,2.40,40150.0
Sate,0.80,2.50,1.10,2.40,44150.0
Rendang,0.80,2.50,1.10,2.40,53150.0
Sayur lodeh,0.80,2.50,1.10,2.40,42150.0
Gado Gado,0.80,2.50,1.10,2.40,41150.0
Rawon,0.80,2.50,1.10,2.40,48150.0
Ketoprak,0.80,2.50,1.10,2.40,40650.0
Siomay,0.80,2.50,1.10,2.40,37150.0
Nasi Goreng,1.00,2.50,1.10,2.40,43350.0
Indomie,1.00,2.50,1.10,2.40,30350.0
Bakso ayam,1.00,2.50,1.10,2.40,40350.0
Sate,1.00,2.50,1.10,2.40,44350.0
Rendang,1.00,2.50,1.10,2.40,53350.0
Sayur lodeh,1.00,2.50,1.10,2.40,42350.0
Gado Gado,1.00,2.50,1.10,2.40,41350.0
Rawon,1.00,2.50,1.10,2.40,48350.0
Ketoprak,1.00,2.50,1.10,2.40,40850.0
Siomay,1.00,2.50,1.10,2.40,37350.0
Nasi Goreng,1.20,2.50,1.10,2.40,43550.0
Indomie,1.20,2.50,1.10,2.40,30550.0
Bakso ayam,1.20,2.50,1.10,2.40,40550.0
Sate,1.20,2.50,1.10,2.40,44550.0
Rendang,1.20,2.50,1.10,2.40,53550.0
Sayur lodeh,1.20,2.50,1.10,2.40,42550.0
Gado Gado,1.20,2.50,1.10,2.40,41550.0
Rawon,1.20,2.50,1.10,2.40,48550.0
Ketoprak,1.20,2.50,1.10,2.40,41050.0
Siomay,1.20,2.50,1.10,2.40,37550.0
Nasi Goreng,1.40,2.50,1.10,2.40,43750.0
Indomie,1.40,2.50,1.10,2.40,30750.0
Bakso ayam,1.40,2.50,1.10,2.40,40750.0
Sate,1.40,2.50,1.10,2.40,44750.0
Rendang,1.40,2.50,1.10,2.40,53750.0
Sayur lodeh,1.40,2.50,1.10,2.40,42750.0
Gado Gado,1.40,2.50,1.10,2.40,41750.0
Rawon,1.40,2.50,1.10,2.40,48750.0
Ketoprak,1.40,2.50,1.10,2.40,41250.0
Siomay,1.40,2.50,1.10,2.40,37750.0
Nasi Goreng,1.60,2.50,1.10,2.40,43950.0
Indomie,1.60,2.50,1.10,2.40,30950.0
Bakso ayam,1.60,2.50,1.10,2.40,40950.0
Sate,1.60,2.50,1.10,2.40,44950.0
Rendang,1.60,2.50,1.10,2.40,53950.0
Sayur lodeh,1.60,2.50,1.10,2.40,42950.0
Gado Gado,1.60,2.50,1.10,2.40,41950.0
Rawon,1.60,2.50,1.10,2.40,48950.0
Ketoprak,1.60,2.50,1.10,2.40,41450.0
Siomay,1.60,2.50,1.10,2.40,37950.0
Nasi Goreng,1.80,2.50,1.10,2.40,44150.0
Indomie,1.80,2.50,1.10,2.40,31150.0
Bakso ayam,1.80,2.50,1.10,2.40,41150.0
Sate,1.80,2.50,1.10,2.40,45150.0
Rendang,1.80,2.50,1.10,2.40,54150.0
Sayur lodeh,1.80,2.50,1.10,2.40,43150.0
Gado Gado,1.80,2.50,1.10,2.40,42150.0
Rawon,1.80,2.50,1.10,2.40,49150.0
Ketoprak,1.80,2.50,1.10,2.40,41650.0
Siomay,1.80,2.50,1.10,2.40,38150.0
Nasi Goreng,2.00,2.50,1.10,2.40,44350.0
Indomie,2.00,2.50,1.10,2.40,31350.0
Bakso ayam,2.00,2.50,1.10,2.40,41350.0
Sate,2.00,2.50,1.10,2.40,45350.0
Rendang,2.00,2.50,1.10,2.40,54350.0
Sayur lodeh,2.00,2.50,1.10,2.40,43350.0
Gado Gado,2.00,2.50,1.10,2.40,42350.0
Rawon,2.00,2.50,1.10,2.40,49350.0
Ketoprak,2.00,2.50,1.10,2.40,41850.0
Siomay,2.00,2.50,1.10,2.40,38350.0
Nasi Goreng,2.20,2.50,1.10,2.40,44550.0
Indomie,2.20,2.50,1.10,2.40,31550.0
Bakso ayam,2.20,2.50,1.10,2.40,41550.0
Sate,2.20,2.50,1.10,2.40,45550.0
Rendang,2.20,2.50,1.10,2.40,54550.0
Sayur lodeh,2.20,2.50,1.10,2.40,43550.0
Gado Gado,2.20,2.50,1.10,2.40,42550.0
Rawon,2.20,2.50,1.10,2.40,49550.0
Ketoprak,2.20,2.50,1.10,2.40,42050.0
Siomay,2.20,2.50,1.10,2.40,38550.0
Nasi Goreng,2.40,2.50,1.10,2.40,44750.0
Indomie,2.40,2.50,1.10,2.40,31750.0
Bakso ayam,2.40,2.50,1.10,2.40,41750.0
Sate,2.40,2.50,1.10,2.40,45750.0
Rendang,2.40,2.50,1.10,2.40,54750.0
Sayur lodeh,2.40,2.50,1.10,2.40,43750.0
Gado Gado,2.40,2.50,1.10,2.40,42750.0
Rawon,2.40,2.50,1.10,2.40,49750.0
Ketoprak,2.40,2.50,1.10,2.40,42250.0
Siomay,2.40,2.50,1.10,2.40,38750.0
Nasi Goreng,2.60,2.50,1.10,2.40,44950.0
Indomie,2.60,2.50,1.10,2.40,31950.0
Bakso ayam,2.60,2.50,1.10,2.40,41950.0
Sate,2.60,2.50,1.10,2.40,45950.0
Rendang,2.60,2.50,1.10,2.40,54950.0
Sayur lodeh,2.60,2.50,1.10,2.40,43950.0
Gado Gado,2.60,2.50,1.10,2.40,42950.0
Rawon,2.60,2.50,1.10,2.40,49950.0
Ketoprak,2.60,2.50,1.10,2.40,42450.0
Siomay,2.60,2.50,1.10,2.40,38950.0
Nasi Goreng,0.80,4.00,1.10,2.40,44500.0
Indomie,0.80,4.00,1.10,2.40,31500.0
Bakso ayam,0.80,4.00,1.10,2.40,41500.0
Sate,0.80,4.00,1.10,2.40,45500.0
Rendang,0.80,4.00,1.10,2.40,54500.0
Sayur lodeh,0.80,4.00,1.10,2.40,43500.0
Gado Gado,0.80,4.00,1.10,2.40,42500.0
Rawon,0.80,4.00,1.10,2.40,49500.0
Ketoprak,0.80,4.00,1.10,2.40,42000.0
Siomay,0.80,4.00,1.10,2.40,38500.0
Nasi Goreng,1.00,4.00,1.10,2.40,44700.0
Indomie,1.00,4.00,1.10,2.40,31700.0
Bakso ayam,1.00,4.00,1.10,2.40,41700.0
Sate,1.00,4.00,1.10,2.40,45700.0
Rendang,1.00,4.00,1.10,2.40,54700.0
Sayur lodeh,1.00,4.00,1.10,2.40,43700.0
Gado Gado,1.00,4.00,1.10,2.40,42700.0
Rawon,1.00,4.00,1.10,2.40,49700.0
Ketoprak,1.00,4.00,1.10,2.40,42200.0
Siomay,1.00,4.00,1.10,2.40,38700.0
Nasi Goreng,1.20,4.00,1.10,2.40,44900.0
Indomie,1.20,4.00,1.10,2.40,31900.0
Bakso ayam,1.20,4.00,1.10,2.40,41900.0
Sate,1.20,4.00,1.10,2.40,45900.0
Rendang,1.20,4.00,1.10,2.40,54900.0
Sayur lodeh,1.20,4.00,1.10,2.40,43900.0
Gado Gado,1.20,4.00,1.10,2.40,42900.0
Rawon,1.20,4.00,1.10,2.40,49900.0
Ketoprak,1.20,4.00,1.10,2.40,42400.0
Siomay,1.20,4.00,1.10,2.40,38900.0
Nasi Goreng,1.40,4.00,1.10,2.40,45100.0
Indomie,1.40,4.00,1.10,2.40,32100.0
Bakso ayam,1.40,4.00,1.10,2.40,42100.0
Sate,1.40,4.00,1.10,2.40,46100.0
Rendang,1.40,4.00,1.10,2.40,55100.0
Sayur lodeh,1.40,4.00,1.10,2.40,44100.0
Gado Gado,1.40,4.00,1.10,2.40,43100.0
Rawon,1.40,4.00,1.10,2.40,50100.0
Ketoprak,1.40,4.00,1.10,2.40,42600.0
Siomay,1.40,4.00,1.10,2.40,39100.0
Nasi Goreng,1.60,4.00,1.10,2.40,45300.0
Indomie,1.60,4.00,1.10,2.40,32300.0
Bakso ayam,1.60,4.00,1.10,2.40,42300.0
Sate,1.60,4.00,1.10,2.40,46300.0
Rendang,1.60,4.00,1.10,2.40,55300.0
Sayur lodeh,1.60,4.00,1.10,2.40,44300.0
Gado Gado,1.60,4.00,1.10,2.40,43300.0
Rawon,1.60,4.00,1.10,2.40,50300.0
Ketoprak,1.60,4.00,1.10,2.40,42800.0
Siomay,1.60,4.00,1.10,2.40,39300.0
Nasi Goreng,1.80,4.00,1.10,2.40,45500.0
Indomie,1.80,4.00,1.10,2.40,32500.0
Bakso ayam,1.80,4.00,1.10,2.40,42500.0
Sate,1.80,4.00,1.10,2.40,46500.0
Rendang,1.80,4.00,1.10,2.40,55500.0
Sayur lodeh,1.80,4.00,1.10,2.40,44500.0
Gado Gado,1.80,4.00,1.10,2.40,43500.0
Rawon,1.80,4.00,1.10,2.40,50500.0
Ketoprak,1.80,4.00,1.10,2.40,43000.0
Siomay,1.80,4.00,1.10,2.40,39500.0
Nasi Goreng,2.00,4.00,1.10,2.40,45700.0
Indomie,2.00,4.00,1.10,2.40,32700.0
Bakso ayam,2.00,4.00,1.10,2.40,42700.0
Sate,2.00,4.00,1.10,2.40,46700.0
Rendang,2.00,4.00,1.10,2.40,55700.0
Sayur lodeh,2.00,4.00,1.10,2.40,44700.0
Gado Gado,2.00,4.00,1.10,2.40,43700.0
Rawon,2.00,4.00,1.10,2.40,50700.0
Ketoprak,2.00,4.00,1.10,2.40,43200.0
Siomay,2.00,4.00,1.10,2.40,39700.0
Nasi Goreng,2.20,4.00,1.10,2.40,45900.0
Indomie,2.20,4.00,1.10,2.40,32900.0
Bakso ayam,2.20,4.00,1.10,2.40,42900.0
Sate,2.20,4.00,1.10,2.40,46900.0
Rendang,2.20,4.00,1.10,2.40,55900.0
Sayur lodeh,2.20,4.00,1.10,2.40,44900.0
Gado Gado,2.20,4.00,1.10,2.40,43900.0
Rawon,2.20,4.00,1.10,2.40,50900.0
Ketoprak,2.20,4.00,1.10,2.40,43400.0
Siomay,2.20,4.00,1.10,2.40,39900.0
Nasi Goreng,2.40,4.00,1.10,2.40,46100.0
Indomie,2.40,4.00,1.10,2.40,33100.0
Bakso ayam,2.40,4.00,1.10,2.40,43100.0
Sate,2.40,4.00,1.10,2.40,47100.0
Rendang,2.40,4.00,1.10,2.40,56100.0
Sayur lodeh,2.40,4.00,1.10,2.40,45100.0
Gado Gado,2.40,4.00,1.10,2.40,44100.0
Rawon,2.40,4.00,1.10,2.40,51100.0
Ketoprak,2.40,4.00,1.10,2.40,43600.0
Siomay,2.40,4.00,1.10,2.40,40100.0
Nasi Goreng,2.60,4.00,1.10,2.40,46300.0
Indomie,2.60,4.00,1.10,2.40,33300.0
Bakso ayam,2.60,4.00,1.10,2.40,43300.0
Sate,2.60,4.00,1.10,2.40,47300.0
Rendang,2.60,4.00,1.10,2.40,56300.0
Sayur lodeh,2.60,4.00,1.10,2.40,45300.0
Gado Gado,2.60,4.00,1.10,2.40,44300.0
Rawon,2.60,4.00,1.10,2.40,51300.0
Ketoprak,2.60,4.00,1.10,2.40,43800.0
Siomay,2.60,4.00,1.10,2.40,40300.0
Nasi Goreng,0.80,5.50,1.10,2.40,45850.0
Indomie,0.80,5.50,1.10,2.40,32850.0
Bakso ayam,0.80,5.50,1.10,2.40,42850.0
Sate,0.80,5.50,1.10,2.40,46850.0
Rendang,0.80,5.50,1.10,2.40,55850.0
Sayur lodeh,0.80,5.50,1.10,2.40,44850.0
Gado Gado,0.80,5.50,1.10,2.40,43850.0
Rawon,0.80,5.50,1.10,2.40,50850.0
Ketoprak,0.80,5.50,1.10,2.40,43350.0
Siomay,0.80,5.50,1.10,2.40,39850.0
Nasi Goreng,1.00,5.50,1.10,2.40,46050.0
Indomie,1.00,5.50,1.10,2.40,33050.0
Bakso ayam,1.00,5.50,1.10,2.40,43050.0
Sate,1.00,5.50,1.10,2.40,47050.0
Rendang,1.00,5.50,1.10,2.40,56050.0
Sayur lodeh,1.00,5.50,1.10,2.40,45050.0
Gado Gado,1.00,5.50,1.10,2.40,44050.0
Rawon,1.00,5.50,1.10,2.40,51050.0
Ketoprak,1.00,5.50,1.10,2.40,43550.0
Siomay,1.00,5.50,1.10,2.40,40050.0
Nasi Goreng,1.20,5.50,1.10,2.40,46250.0
Indomie,1.20,5.50,1.10,2.40,33250.0
Bakso ayam,1.20,5.50,1.10,2.40,43250.0
Sate,1.20,5.50,1.10,2.40,47250.0
Rendang,1.20,5.50,1.10,2.40,56250.0
Sayur lodeh,1.20,5.50,1.10,2.40,45250.0
Gado Gado,1.20,5.50,1.10,2.40,44250.0
Rawon,1.20,5.50,1.10,2.40,51250.0
Ketoprak,1.20,5.50,1.10,2.40,43750.0
Siomay,1.20,5.50,1.10,2.40,40250.0
Nasi Goreng,1.40,5.50,1.10,2.40,46450.0
Indomie,1.40,5.50,1.10,2.40,33450.0
Bakso ayam,1.40,5.50,1.10,2.40,43450.0
Sate,1.40,5.50,1.10,2.40,47450.0
Rendang,1.40,5.50,1.10,2.40,56450.0
Sayur lodeh,1.40,5.50,1.10,2.40,45450.0
Gado Gado,1.40,5.50,1.10,2.40,44450.0
Rawon,1.40,5.50,1.10,2.40,51450.0
Ketoprak,1.40,5.50,1.10,2.40,43950.0
Siomay,1.40,5.50,1.10,2.40,40450.0
Nasi Goreng,1.60,5.50,1.10,2.40,46650.0
Indomie,1.60,5.50,1.10,2.40,33650.0
Bakso ayam,1.60,5.50,1.10,2.40,43650.0
Sate,1.60,5.50,1.10,2.40,47650.0
Rendang,1.60,5.50,1.10,2.40,56650.0
Sayur lodeh,1.60,5.50,1.10,2.40,45650.0
Gado Gado,1.60,5.50,1.10,2.40,44650.0
Rawon,1.60,5.50,1.10,2.40,51650.0
Ketoprak,1.60,5.50,1.10,2.40,44150.0
Siomay,1.60,5.50,1.10,2.40,40650.0
Nasi Goreng,1.80,5.50,1.10,2.40,46850.0
Indomie,1.80,5.50,1.10,2.40,33850.0
Bakso ayam,1.80,5.50,1.10,2.40,43850.0
Sate,1.80,5.50,1.10,2.40,47850.0
Rendang,1.80,5.50,1.10,2.40,56850.0
Sayur lodeh,1.80,5.50,1.10,2.40,45850.0
Gado Gado,1.80,5.50,1.10,2.40,44850.0
Rawon,1.80,5.50,1.10,2.40,51850.0
Ketoprak,1.80,5.50,1.10,2.40,44350.0
Siomay,1.80,5.50,1.10,2.40,40850.0
Nasi Goreng,2.00,5.50,1.10,2.40,47050.0
Indomie,2.00,5.50,1.10,2.40,34050.0
Bakso ayam,2.00,5.50,1.10,2.40,44050.0
Sate,2.00,5.50,1.10,2.40,48050.0
Rendang,2.00,5.50,1.10,2.40,57050.0
Sayur lodeh,2.00,5.50,1.10,2.40,46050.0
Gado Gado,2.00,5.50,1.10,2.40,45050.0
Rawon,2.00,5.50,1.10,2.40,52050.0
Ketoprak,2.00,5.50,1.10,2.40,44550.0
Siomay,2.00,5.50,1.10,2.40,41050.0
Nasi Goreng,2.20,5.50,1.10,2.40,47250.0
Indomie,2.20,5.50,1.10,2.40,34250.0
Bakso ayam,2.20,5.50,1.10,2.40,44250.0
Sate,2.20,5.50,1.10,2.40,48250.0
Rendang,2.20,5.50,1.10,2.40,57250.0
Sayur lodeh,2.20,5.50,1.10,2.40,46250.0
Gado Gado,2.20,5.50,1.10,2.40,45250.0
Rawon,2.20,5.50,1.10,2.40,52250.0
Ketoprak,2.20,5.50,1.10,2.40,44750.0
Siomay,2.20,5.50,1.10,2.40,41250.0
Nasi Goreng,2.40,5.50,1.10,2.40,47450.0
Indomie,2.40,5.50,1.10,2.40,34450.0
Bakso ayam,2.40,5.50,1.10,2.40,44450.0
Sate,2.40,5.50,1.10,2.40,48450.0
Rendang,2.40,5.50,1.10,2.40,57450.0
Sayur lodeh,2.40,5.50,1.10,2.40,46450.0
Gado Gado,2.40,5.50,1.10,2.40,45450.0
Rawon,2.40,5.50,1.10,2.40,52450.0
Ketoprak,2.40,5.50,1.10,2.40,44950.0
Siomay,2.40,5.50,1.10,2.40,41450.0
Nasi Goreng,2.60,5.50,1.10,2.40,47650.0
Indomie,2.60,5.50,1.10,2.40,34650.0
Bakso ayam,2.60,5.50,1.10,2.40,44650.0
Sate,2.60,5.50,1.10,2.40,48650.0
Rendang,2.60,5.50,1.10,2.40,57650.0
Sayur lodeh,2.60,5.50,1.10,2.40,46650.0
Gado Gado,2.60,5.50,1.10,2.40,45650.0
Rawon,2.60,5.50,1.10,2.40,52650.0
Ketoprak,2.60,5.50,1.10,2.40,45150.0
Siomay,2.60,5.50,1.10,2.40,41650.0
Nasi Goreng,0.80,7.00,1.10,2.40,47200.0
Indomie,0.80,7.00,1.10,2.40,34200.0
Bakso ayam,0.80,7.00,1.10,2.40,44200.0
Sate,0.80,7.00,1.10,2.40,48200.0
Rendang,0.80,7.00,1.10,2.40,57200.0
Sayur lodeh,0.80,7.00,1.10,2.40,46200.0
Gado Gado,0.80,7.00,1.10,2.40,45200.0
Rawon,0.80,7.00,1.10,2.40,52200.0
Ketoprak,0.80,7.00,1.10,2.40,44700.0
Siomay,0.80,7.00,1.10,2.40,41200.0
Nasi Goreng,1.00,7.00,1.10,2.40,47400.0
Indomie,1.00,7.00,1.10,2.40,34400.0
Bakso ayam,1.00,7.00,1.10,2.40,44400.0
Sate,1.00,7.00,1.10,2.40,48400.0
Rendang,1.00,7.00,1.10,2.40,57400.0
Sayur lodeh,1.00,7.00,1.10,2.40,46400.0
Gado Gado,1.00,7.00,1.10,2.40,45400.0
Rawon,1.00,7.00,1.10,2.40,52400.0
Ketoprak,1.00,7.00,1.10,2.40,44900.0
Siomay,1.00,7.00,1.10,2.40,41400.0
Nasi Goreng,1.20,7.00,1.10,2.40,47600.0
Indomie,1.20,7.00,1.10,2.40,34600.0
Bakso ayam,1.20,7.00,1.10,2.40,44600.0
Sate,1.20,7.00,1.10,2.40,48600.0
Rendang,1.20,7.00,1.10,2.40,57600.0
Sayur lodeh,1.20,7.00,1.10,2.40,46600.0
Gado Gado,1.20,7.00,1.10,2.40,45600.0
Rawon,1.20,7.00,1.10,2.40,52600.0
Ketoprak,1.20,7.00,1.10,2.40,45100.0
Siomay,1.20,7.00,1.10,2.40,41600.0
Nasi Goreng,1.40,7.00,1.10,2.40,47800.0
Indomie,1.40,7.00,1.10,2.40,34800.0
Bakso ayam,1.40,7.00,1.10,2.40,44800.0
Sate,1.40,7.00,1.10,2.40,48800.0
